length scale factor
3.2239200E-01
volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
6.4925038E+00 3.2206961E-01 2.6029780E+02 6.4925038E+00
total extinction, absorption, scattering efficiencies (unpolarized incidence)
7.4164000E+00 3.9551000E-01 7.0208000E+00
theta     11          12          22          33          34          44
82.000000 1.0581000E-02 -8.9051000E-01 9.0986000E-01 1.3882000E-01 -2.8003000E-02 1.4925000E-01
82.500000 1.0464000E-02 -8.9173000E-01 9.0867000E-01 1.2334000E-01 -2.8720000E-02 1.3443000E-01
83.000000 1.0335000E-02 -8.9217000E-01 9.0742000E-01 1.0922000E-01 -2.5707000E-02 1.2105000E-01
83.500000 1.0198000E-02 -8.9208000E-01 9.0619000E-01 9.4563000E-02 -2.3004000E-02 1.0725000E-01
84.000000 1.0051000E-02 -8.9187000E-01 9.0492000E-01 7.8408000E-02 -2.2722000E-02 9.2000000E-02
84.500000 9.9145000E-03 -8.9151000E-01 9.0363000E-01 6.3698000E-02 -2.2270000E-02 7.8200000E-02
85.000000 9.7890000E-03 -8.9075000E-01 9.0229000E-01 5.0972000E-02 -2.1495000E-02 6.6506000E-02
85.500000 9.6348000E-03 -8.8945000E-01 9.0084000E-01 3.6663000E-02 -2.2728000E-02 5.3429000E-02
86.000000 9.4434000E-03 -8.8756000E-01 8.9936000E-01 2.0312000E-02 -2.4985000E-02 3.8349000E-02
86.500000 9.2578000E-03 -8.8524000E-01 8.9788000E-01 5.6984000E-03 -2.6054000E-02 2.4868000E-02
87.000000 9.1017000E-03 -8.8289000E-01 8.9622000E-01 -6.5423000E-03 -2.7093000E-02 1.3622000E-02
87.500000 8.9578000E-03 -8.8078000E-01 8.9443000E-01 -1.9918000E-02 -2.9238000E-02 1.1035000E-03
88.000000 8.8253000E-03 -8.7861000E-01 8.9290000E-01 -3.5260000E-02 -3.0661000E-02 -1.3581000E-02
88.500000 8.7324000E-03 -8.7603000E-01 8.9184000E-01 -5.0045000E-02 -3.0941000E-02 -2.7841000E-02
89.000000 8.6856000E-03 -8.7354000E-01 8.9116000E-01 -6.4031000E-02 -3.2064000E-02 -4.1351000E-02
89.500000 8.6670000E-03 -8.7199000E-01 8.9096000E-01 -7.9381000E-02 -3.3451000E-02 -5.6488000E-02
90.000000 8.6803000E-03 -8.7109000E-01 8.9160000E-01 -9.6093000E-02 -3.2877000E-02 -7.3523000E-02
90.500000 8.7393000E-03 -8.6971000E-01 8.9296000E-01 -1.1223000E-01 -3.1572000E-02 -9.0365000E-02
91.000000 8.8153000E-03 -8.6775000E-01 8.9432000E-01 -1.2747000E-01 -3.1715000E-02 -1.0626000E-01
91.500000 8.8495000E-03 -8.6575000E-01 8.9506000E-01 -1.4292000E-01 -3.1693000E-02 -1.2210000E-01
92.000000 8.8227000E-03 -8.6319000E-01 8.9514000E-01 -1.5874000E-01 -2.9578000E-02 -1.3800000E-01
92.500000 8.7676000E-03 -8.5922000E-01 8.9478000E-01 -1.7414000E-01 -2.7272000E-02 -1.5305000E-01
93.000000 8.7110000E-03 -8.5450000E-01 8.9416000E-01 -1.8881000E-01 -2.6874000E-02 -1.6681000E-01
93.500000 8.6429000E-03 -8.5006000E-01 8.9328000E-01 -2.0304000E-01 -2.7216000E-02 -1.7968000E-01
94.000000 8.5521000E-03 -8.4542000E-01 8.9211000E-01 -2.1710000E-01 -2.7069000E-02 -1.9213000E-01
94.500000 8.4579000E-03 -8.3981000E-01 8.9073000E-01 -2.3116000E-01 -2.7156000E-02 -2.0448000E-01
95.000000 8.3882000E-03 -8.3410000E-01 8.8945000E-01 -2.4537000E-01 -2.7584000E-02 -2.1695000E-01
95.500000 8.3495000E-03 -8.2906000E-01 8.8855000E-01 -2.5983000E-01 -2.7757000E-02 -2.2982000E-01
96.000000 8.3347000E-03 -8.2402000E-01 8.8814000E-01 -2.7440000E-01 -2.8421000E-02 -2.4318000E-01
96.500000 8.3439000E-03 -8.1877000E-01 8.8815000E-01 -2.8862000E-01 -2.9787000E-02 -2.5665000E-01
97.000000 8.3739000E-03 -8.1438000E-01 8.8835000E-01 -3.0203000E-01 -3.0045000E-02 -2.6953000E-01
97.500000 8.3996000E-03 -8.1062000E-01 8.8844000E-01 -3.1467000E-01 -2.9001000E-02 -2.8158000E-01
98.000000 8.3969000E-03 -8.0590000E-01 8.8841000E-01 -3.2688000E-01 -2.9103000E-02 -2.9313000E-01
98.500000 8.3790000E-03 -8.0029000E-01 8.8851000E-01 -3.3847000E-01 -3.0582000E-02 -3.0416000E-01
99.000000 8.3824000E-03 -7.9563000E-01 8.8885000E-01 -3.4897000E-01 -3.0661000E-02 -3.1409000E-01
99.500000 8.4183000E-03 -7.9225000E-01 8.8913000E-01 -3.5879000E-01 -2.9044000E-02 -3.2300000E-01
100.000000 8.4694000E-03 -7.8855000E-01 8.8916000E-01 -3.6921000E-01 -2.8474000E-02 -3.3226000E-01
100.500000 8.5285000E-03 -7.8370000E-01 8.8921000E-01 -3.8121000E-01 -2.9234000E-02 -3.4330000E-01
101.000000 8.5999000E-03 -7.7813000E-01 8.8954000E-01 -3.9471000E-01 -2.9008000E-02 -3.5623000E-01
101.500000 8.6703000E-03 -7.7200000E-01 8.9007000E-01 -4.0887000E-01 -2.7699000E-02 -3.6994000E-01
102.000000 8.7199000E-03 -7.6555000E-01 8.9065000E-01 -4.2238000E-01 -2.7046000E-02 -3.8295000E-01
102.500000 8.7581000E-03 -7.5981000E-01 8.9150000E-01 -4.3402000E-01 -2.6897000E-02 -3.9419000E-01
