length scale factor
8.9040000E-03
volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
1.7931422E-01 8.8950960E-03 6.0556471E-01 1.7931422E-01
total extinction, absorption, scattering efficiencies (unpolarized incidence)
1.9247000E-03 9.3078000E-04 9.9390000E-04
theta     11          12          22          33          34          44
95.500000 1.8694000E-01 -9.8199000E-01 9.9993000E-01 -1.8858000E-01 8.7535000E-08 -1.8857000E-01
96.000000 1.8713000E-01 -9.7860000E-01 9.9993000E-01 -2.0544000E-01 8.6053000E-08 -2.0543000E-01
96.500000 1.8734000E-01 -9.7493000E-01 9.9993000E-01 -2.2219000E-01 8.4551000E-08 -2.2218000E-01
97.000000 1.8758000E-01 -9.7099000E-01 9.9993000E-01 -2.3883000E-01 8.3030000E-08 -2.3882000E-01
97.500000 1.8784000E-01 -9.6678000E-01 9.9993000E-01 -2.5535000E-01 8.1492000E-08 -2.5534000E-01
98.000000 1.8814000E-01 -9.6230000E-01 9.9993000E-01 -2.7174000E-01 7.9938000E-08 -2.7173000E-01
98.500000 1.8846000E-01 -9.5756000E-01 9.9993000E-01 -2.8799000E-01 7.8370000E-08 -2.8798000E-01
99.000000 1.8880000E-01 -9.5257000E-01 9.9993000E-01 -3.0410000E-01 7.6790000E-08 -3.0409000E-01
99.500000 1.8917000E-01 -9.4732000E-01 9.9993000E-01 -3.2006000E-01 7.5199000E-08 -3.2005000E-01
100.000000 1.8957000E-01 -9.4184000E-01 9.9993000E-01 -3.3586000E-01 7.3599000E-08 -3.3585000E-01
100.500000 1.9000000E-01 -9.3611000E-01 9.9993000E-01 -3.5150000E-01 7.1990000E-08 -3.5149000E-01
101.000000 1.9044000E-01 -9.3016000E-01 9.9993000E-01 -3.6697000E-01 7.0375000E-08 -3.6696000E-01
101.500000 1.9092000E-01 -9.2398000E-01 9.9993000E-01 -3.8226000E-01 6.8756000E-08 -3.8225000E-01
102.000000 1.9142000E-01 -9.1758000E-01 9.9993000E-01 -3.9738000E-01 6.7133000E-08 -3.9737000E-01
102.500000 1.9194000E-01 -9.1097000E-01 9.9993000E-01 -4.1231000E-01 6.5508000E-08 -4.1230000E-01
103.000000 1.9249000E-01 -9.0415000E-01 9.9993000E-01 -4.2705000E-01 6.3882000E-08 -4.2704000E-01
